Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.098078	16.863867	0.196161	28.595001	0.98083	0							0.098078	-0.216719
0.098658	16.863571	0.197322	28.594738	0.986634	0							0.098658	-0.216469
0.099239	16.863749	0.198482	28.594517	0.992438	0							0.099239	-0.216215
0.099819	16.864868	0.199643	28.594223	0.998242	0							0.099819	-0.215961
0.100399	16.865637	0.200804	28.593822	1.004045	0							0.100399	-0.215707
0.10098	16.865799	0.201964	28.593445	1.009849	0							0.10098	-0.215453
0.10156	16.866224	0.203125	28.592991	1.015653	0							0.10156	-0.215199
0.10214	16.866566	0.204286	28.592342	1.021456	0							0.10214	-0.214945
0.102721	16.867067	0.205447	28.5917	1.02726	0							0.102721	-0.214691
0.103301	16.867519	0.206607	28.590963	1.033064	0							0.103301	-0.214437
0.103881	16.867172	0.207768	28.590088	1.038868	0							0.103881	-0.214183
0.104462	16.867086	0.208929	28.589184	1.044671	0							0.104462	-0.213929
0.105042	16.867325	0.21009	28.588152	1.050475	0							0.105042	-0.213672
0.105622	16.867393	0.21125	28.587034	1.056279	0							0.105622	-0.213414
0.106203	16.867373	0.212411	28.585651	1.062083	0							0.106203	-0.213157
0.106783	16.867311	0.213572	28.584272	1.067886	0							0.106783	-0.212899
0.107363	16.867388	0.214732	28.582813	1.07369	0							0.107363	-0.212642
0.107944	16.867769	0.215893	28.581297	1.079494	0							0.107944	-0.212384
0.108524	16.868717	0.217054	28.579823	1.085298	0							0.108524	-0.212127
0.109104	16.869461	0.218215	28.578268	1.091101	0							0.109104	-0.211869
0.109685	16.869535	0.219375	28.576437	1.096905	0							0.109685	-0.211612
0.110265	16.869232	0.220536	28.574493	1.102709	0							0.110265	-0.211354
0.110845	16.869289	0.221697	28.572428	1.108513	0							0.110845	-0.211093
0.111426	16.869287	0.222857	28.570362	1.114316	0							0.111426	-0.210833
0.112006	16.869102	0.224018	28.568356	1.12012	0							0.112006	-0.210572
0.112586	16.869444	0.225179	28.566385	1.125924	0							0.112586	-0.210311
0.113167	16.869537	0.22634	28.564396	1.131727	0							0.113167	-0.210051
0.113747	16.869499	0.2275	28.562489	1.137531	0							0.113747	-0.20979
0.114327	16.869385	0.228661	28.560307	1.143335	0							0.114327	-0.209529
0.114908	16.86939	0.229822	28.558125	1.149139	0							0.114908	-0.209269
0.115488	16.870096	0.230982	28.555977	1.154942	0							0.115488	-0.209008
0.116068	16.870325	0.232143	28.553734	1.160746	0							0.116068	-0.208747
0.116649	16.869802	0.233304	28.55143	1.16655	0							0.116649	-0.208573
0.117229	16.868736	0.234465	28.549099	1.172354	0							0.117229	-0.208398
0.11781	16.86763	0.235625	28.546621	1.178157	0							0.11781	-0.208223
0.11839	16.867661	0.236786	28.544264	1.183961	0							0.11839	-0.208049
0.11897	16.867466	0.237947	28.541842	1.189765	0							0.11897	-0.207874
0.119551	16.867064	0.239107	28.53948	1.195568	0							0.119551	-0.207699
0.120131	16.867355	0.240268	28.537186	1.201372	0							0.120131	-0.207525
0.120711	16.867275	0.241429	28.53496	1.207176	0							0.120711	-0.20735
0.121292	16.866617	0.24259	28.532597	1.21298	0							0.121292	-0.207175
0.121872	16.86606	0.24375	28.530231	1.218783	0							0.121872	-0.207001
0.122452	16.865824	0.244911	28.527887	1.224587	0							0.122452	-0.206736
0.123033	16.865641	0.246072	28.525639	1.230391	0							0.123033	-0.20647
0.123613	16.86512	0.247232	28.523273	1.236195	0							0.123613	-0.206205
0.124193	16.86451	0.248393	28.520939	1.241998	0							0.124193	-0.20594
0.124774	16.863623	0.249554	28.518639	1.247802	0							0.124774	-0.205675
0.125354	16.864122	0.250715	28.516493	1.253606	0							0.125354	-0.20541
0.125934	16.865147	0.251875	28.514256	1.259409	0							0.125934	-0.205145
0.126515	16.865633	0.253036	28.511932	1.265213	0							0.126515	-0.20488
0.127095	16.865749	0.254197	28.509642	1.271017	0							0.127095	-0.204614
0.127675	16.86602	0.255357	28.507454	1.276821	0							0.127675	-0.204349
0.128256	16.86615	0.256518	28.505268	1.282624	0							0.128256	-0.204082
0.128836	16.865927	0.257679	28.503151	1.288428	0							0.128836	-0.203814
0.129416	16.865095	0.25884	28.500956	1.294232	0							0.129416	-0.203547
0.129997	16.864603	0.26	28.498878	1.300036	0							0.129997	-0.20328
0.130577	16.865076	0.261161	28.49662	1.305839	0							0.130577	-0.203012
0.131157	16.86533	0.262322	28.494614	1.311643	0							0.131157	-0.202745
0.131738	16.865088	0.263482	28.492558	1.317447	0							0.131738	-0.202477
0.132318	16.864576	0.264643	28.490635	1.323251	0							0.132318	-0.20221
0.132898	16.864246	0.265804	28.488535	1.329054	0							0.132898	-0.201943
0.133479	16.864067	0.266965	28.486847	1.334858	0							0.133479	-0.201675
0.134059	16.864176	0.268125	28.485346	1.340662	0							0.134059	-0.201406
0.134639	16.864592	0.269286	28.484137	1.346465	0							0.134639	-0.201136
0.13522	16.864889	0.270447	28.482937	1.352269	0							0.13522	-0.200867
0.1358	16.864206	0.271607	28.481934	1.358073	0							0.1358	-0.200598
